iter	TotalF1:average=Macro	MultiClass
0	0.6758723931	1.337164153
1	0.6731572792	1.293295104
2	0.6898215547	1.246245285
3	0.7380536279	1.205499584
4	0.771222344	1.159934734
5	0.7793920903	1.123987845
6	0.7947995194	1.0889797
7	0.7963867479	1.055794033
8	0.7862195056	1.019975548
9	0.7987896286	0.9939644645
10	0.7969043333	0.9672564928
11	0.8002358145	0.9436072766
12	0.7923599354	0.9212846649
13	0.7920480336	0.8963630232
14	0.7974526985	0.8758925056
15	0.7997443272	0.8580304235
16	0.79645131	0.8425665043
17	0.7989687523	0.8265515856
18	0.8016554302	0.8120990486
19	0.7974100234	0.7968082407
20	0.8009504082	0.7836879187
21	0.7987117092	0.7714900041
22	0.8020857915	0.7573512642
23	0.8041095335	0.7462963145
24	0.8064142703	0.7355117434
25	0.8042092358	0.7283140242
26	0.8078425287	0.7177049744
27	0.8065207831	0.708169823
28	0.8090276607	0.6984818134
29	0.8138339513	0.690175929
30	0.8131678604	0.6813998986
31	0.8144074936	0.6737864627
32	0.8166457383	0.6662834853
33	0.8136211701	0.658894829
34	0.8184075519	0.6509464829
35	0.8201487651	0.6438938151
36	0.8197200749	0.6372243281
37	0.824266486	0.6296115869
38	0.8241525492	0.6235351684
39	0.8230216104	0.6171126724
40	0.8295571983	0.6109948233
41	0.8275456528	0.6051780707
42	0.8275000042	0.6007161138
43	0.8294732119	0.5948704085
44	0.8281976162	0.5898082128
45	0.8281018355	0.586107156
46	0.8303199456	0.5814990014
47	0.8309307095	0.5773523215
48	0.8325237596	0.5730140922
49	0.8352820572	0.5680690208
50	0.8358697321	0.5639286247
51	0.8371962578	0.56008634
52	0.8348057518	0.5569602455
53	0.8358697321	0.5527861459
54	0.8364267773	0.5488172933
55	0.8378821692	0.5446543851
56	0.8391018002	0.5407445016
57	0.839324662	0.5374257039
58	0.8377243052	0.533987443
59	0.8365773102	0.53082326
60	0.8376837279	0.5275314295
61	0.8410387882	0.5231134071
62	0.8397280725	0.5195719244
63	0.8419706179	0.5151434787
64	0.8437792754	0.5117115542
65	0.8432031756	0.509274345
66	0.8437792754	0.5063542908
67	0.8455602314	0.5023690986
68	0.8461413229	0.4971594756
69	0.8484233681	0.4937889497
70	0.8483934069	0.4902693271
71	0.8484751868	0.4866873821
72	0.8479349023	0.4844976334
73	0.8479349023	0.4825498723
74	0.852612559	0.4795340584
75	0.8531428798	0.4764773478
76	0.8520621225	0.4737565052
77	0.8538859627	0.4710189715
78	0.8545324345	0.4682986104
79	0.8556932746	0.4661963744
80	0.8569954407	0.4634584593
81	0.8569396963	0.4607346857
82	0.8581005183	0.458294109
83	0.8599350318	0.45639308
84	0.8605110675	0.4535014066
85	0.8616723812	0.4515443334
86	0.8628146733	0.4494741464
87	0.862216612	0.4469606241
88	0.8610107691	0.4443552886
89	0.8645247289	0.4409887229
90	0.8627391064	0.4386941884
91	0.8645247289	0.4365691375
92	0.863847323	0.4341415571
93	0.863847323	0.4309557093
94	0.8650732152	0.4290106592
95	0.863889246	0.4279403008
96	0.863889246	0.4259246251
97	0.863889246	0.42439066
98	0.8650297918	0.4224773222
99	0.8680098874	0.4201536125
100	0.8680334343	0.4184991102
101	0.868535021	0.4166953703
102	0.8679961706	0.4139843072
103	0.8667482746	0.4121535325
104	0.8679725368	0.4101948165
105	0.867862386	0.4089260426
106	0.867862386	0.4071338843
107	0.8684377594	0.4054871138
108	0.8672610471	0.4042071123
109	0.868480079	0.4025104311
110	0.870791469	0.4009480387
111	0.8696659192	0.3997032125
112	0.8713925404	0.3978155834
113	0.8713925404	0.3962215026
114	0.8713971916	0.3948728909
115	0.8702412939	0.3935071034
116	0.8720122096	0.3923528915
117	0.8714111848	0.3908593753
118	0.8714111848	0.3901035327
119	0.8720474218	0.3887277776
120	0.8732203918	0.3881262296
121	0.8732326819	0.3869305185
122	0.8738340941	0.3861197521
123	0.874417942	0.3854270385
124	0.8744351608	0.384450063
125	0.8732661311	0.3836410387
126	0.873850772	0.3822207821
127	0.8744351608	0.3801628534
128	0.8739058865	0.3789380991
129	0.8739058865	0.3780280271
130	0.8739058865	0.377490219
131	0.8733208296	0.3763170525
132	0.8739058865	0.3755860468
133	0.8733208296	0.3736447864
134	0.8739058865	0.3732142716
135	0.8739058865	0.3721811489
136	0.8751040754	0.3706617464
137	0.875689461	0.3698994494
138	0.875689461	0.3691209373
139	0.8757026822	0.3686899296
140	0.8768869348	0.3679500299
141	0.8774851965	0.366750441
142	0.8775231058	0.3661887683
143	0.8775231058	0.3653503192
144	0.8769369897	0.3636395694
145	0.8769369897	0.3630774151
146	0.8781309079	0.3622900073
147	0.8775341014	0.3615049182
148	0.8769253967	0.3603682001
149	0.8775231058	0.3597549308
150	0.8787343417	0.3587119715
151	0.8793589558	0.3578362407
152	0.8787855377	0.3572340747
153	0.8775823495	0.3565733328
154	0.8787645164	0.3558184297
155	0.8805746379	0.3545733112
156	0.8805211341	0.3537923044
157	0.8823767502	0.3529143832
158	0.8823767502	0.3523076377
159	0.8811953951	0.3517768004
160	0.8817900412	0.3510080612
161	0.8817900412	0.3503305832
162	0.8811953951	0.3493763789
163	0.8806213438	0.348912255
164	0.8806213438	0.3480078021
165	0.8811973282	0.3474625363
166	0.8817837609	0.3467651135
167	0.8817919743	0.3463340041
168	0.8829651292	0.3456685364
169	0.8829651292	0.3445968578
170	0.8853445159	0.3436809595
171	0.8871404619	0.3428193103
172	0.8865552429	0.3416467941
173	0.8877353026	0.3408547967
174	0.8865068781	0.3398792906
175	0.8876876802	0.3390813067
176	0.8883205512	0.3387648268
177	0.8877353026	0.3383403371
178	0.8888947414	0.337789683
179	0.8883102063	0.3370749631
180	0.8883102063	0.3368165792
181	0.8883102063	0.3364094949
182	0.888357262	0.3358116672
183	0.888357262	0.3349268157
184	0.888357262	0.3346631935
