iter	Passed	Remaining
0	38	38897
1	84	42093
2	129	43131
3	179	44679
4	223	44389
5	266	44067
6	309	43887
7	354	44009
8	388	42801
9	435	43154
10	482	43375
11	525	43267
12	571	43383
13	598	42143
14	641	42104
15	730	44933
16	799	46250
17	848	46314
18	894	46198
19	929	45535
20	975	45471
21	1011	44952
22	1052	44727
23	1097	44646
24	1142	44551
25	1185	44421
26	1230	44361
27	1282	44516
28	1328	44495
29	1374	44435
30	1421	44441
31	1467	44401
32	1513	44337
33	1558	44288
34	1603	44218
35	1651	44215
36	1695	44139
37	1740	44067
38	1784	43964
39	1831	43947
40	1876	43891
41	1920	43810
42	1965	43754
43	2012	43723
44	2060	43733
45	2103	43630
46	2136	43329
47	2180	43247
48	2230	43285
49	2277	43270
50	2321	43192
51	2365	43130
52	2411	43091
53	2460	43098
54	2506	43065
55	2550	42991
56	2597	42971
57	2650	43048
58	2695	42996
59	2740	42939
60	2784	42869
61	2829	42803
62	2878	42806
63	2924	42773
64	2971	42740
65	3019	42728
66	3064	42673
67	3108	42609
68	3151	42520
69	3196	42469
70	3240	42405
71	3288	42385
72	3336	42369
73	3382	42333
74	3429	42297
75	3478	42285
76	3523	42234
77	3568	42175
78	3613	42122
79	3658	42069
80	3705	42036
81	3749	41975
82	3795	41929
83	3840	41875
84	3887	41845
85	3935	41824
86	3979	41764
87	4022	41690
88	4067	41637
89	4115	41612
90	4162	41577
91	4207	41527
92	4252	41471
93	4301	41459
94	4348	41422
95	4393	41373
96	4437	41308
97	4484	41279
98	4535	41279
99	4581	41229
100	4626	41176
101	4670	41114
102	4720	41105
103	4764	41047
104	4808	40985
105	4851	40913
106	4896	40861
107	4942	40821
108	4990	40791
109	5035	40738
110	5080	40693
111	5128	40663
112	5174	40615
113	5217	40553
114	5265	40518
115	5310	40470
116	5359	40451
117	5405	40401
118	5449	40344
119	5499	40332
120	5544	40274
121	5590	40234
122	5632	40162
123	5679	40121
124	5725	40076
125	5773	40049
126	5817	39991
127	5864	39948
128	5908	39897
129	5955	39855
130	5999	39800
131	6045	39753
132	6089	39695
133	6134	39644
134	6178	39586
135	6225	39551
136	6270	39497
137	6315	39447
138	6480	40141
139	6546	40214
140	6590	40151
141	6637	40104
142	6693	40116
143	6739	40064
144	6787	40020
145	6840	40013
146	6898	40027
147	6958	40055
148	7012	40051
149	7057	39993
150	7100	39921
151	7149	39886
152	7193	39824
153	7236	39753
154	7279	39683
155	7321	39613
156	7374	39599
157	7428	39587
158	7478	39558
159	7521	39488
160	7569	39446
161	7614	39390
162	7677	39422
163	7720	39354
164	7764	39290
165	7806	39222
166	7852	39168
167	7897	39109
168	7940	39045
169	7989	39006
170	8034	38950
171	8079	38895
172	8123	38833
173	8177	38821
174	8234	38818
175	8294	38832
176	8347	38812
177	8404	38809
178	8501	38990
179	8594	39154
180	8669	39229
181	8737	39270
182	8828	39414
183	8914	39534
184	9016	39723
