fold,split,metric,iteration,value
4,learn,TotalF1:average=Macro,1,0.3351292427992516
4,learn,TotalF1:average=Macro,2,0.3928146244902952
4,learn,TotalF1:average=Macro,3,0.4463980307992155
4,learn,TotalF1:average=Macro,4,0.43338880213893677
4,learn,TotalF1:average=Macro,5,0.45294074761502895
4,learn,TotalF1:average=Macro,6,0.4564037831752166
4,learn,TotalF1:average=Macro,7,0.46532673283177073
4,learn,TotalF1:average=Macro,8,0.4741996403545925
4,learn,TotalF1:average=Macro,9,0.48877332950720487
4,learn,TotalF1:average=Macro,10,0.49355569031147034
4,learn,TotalF1:average=Macro,11,0.4963636351315447
4,learn,TotalF1:average=Macro,12,0.4952869668559219
4,learn,TotalF1:average=Macro,13,0.4836380981255675
4,learn,TotalF1:average=Macro,14,0.4940926768860916
4,learn,TotalF1:average=Macro,15,0.4892799603220699
4,learn,TotalF1:average=Macro,16,0.5049842680298349
4,learn,TotalF1:average=Macro,17,0.49844603085089384
4,learn,TotalF1:average=Macro,18,0.5026669188335765
4,learn,TotalF1:average=Macro,19,0.5093953236858697
4,learn,TotalF1:average=Macro,20,0.5131890094604536
4,learn,TotalF1:average=Macro,21,0.5122897848760859
4,learn,TotalF1:average=Macro,22,0.508449367348074
4,learn,TotalF1:average=Macro,23,0.5109357976644312
4,learn,TotalF1:average=Macro,24,0.5197252541950803
4,learn,TotalF1:average=Macro,25,0.520934424137416
4,learn,TotalF1:average=Macro,26,0.5240693871196642
4,learn,TotalF1:average=Macro,27,0.5289572720329705
4,learn,TotalF1:average=Macro,28,0.5369496139937162
4,learn,TotalF1:average=Macro,29,0.5324070298644764
4,learn,TotalF1:average=Macro,30,0.5374645964678475
4,learn,TotalF1:average=Macro,31,0.5385431925504415
4,learn,TotalF1:average=Macro,32,0.5395811506173602
4,learn,TotalF1:average=Macro,33,0.5407734277591443
4,learn,TotalF1:average=Macro,34,0.5522335614970109
4,learn,TotalF1:average=Macro,35,0.5559685196815749
4,learn,TotalF1:average=Macro,36,0.5551319850552306
4,learn,TotalF1:average=Macro,37,0.5566914050083067
4,learn,TotalF1:average=Macro,38,0.5591840056591142
4,learn,TotalF1:average=Macro,39,0.5617933461671916
4,learn,TotalF1:average=Macro,40,0.5623584344924346
4,learn,TotalF1:average=Macro,41,0.5711631070577932
4,learn,TotalF1:average=Macro,42,0.5692754650436951
4,learn,TotalF1:average=Macro,43,0.5712730048597513
4,learn,TotalF1:average=Macro,44,0.5737175334667999
4,learn,TotalF1:average=Macro,45,0.5788934361504247
4,learn,TotalF1:average=Macro,46,0.5770774380669569
4,learn,TotalF1:average=Macro,47,0.5798436598521487
4,learn,TotalF1:average=Macro,48,0.5798130899742614
4,learn,TotalF1:average=Macro,49,0.5842356657983627
4,learn,TotalF1:average=Macro,50,0.5812044035241726
4,learn,TotalF1:average=Macro,51,0.5855166260366317
4,learn,TotalF1:average=Macro,52,0.5903304923407537
4,learn,TotalF1:average=Macro,53,0.5862338393440663
4,learn,TotalF1:average=Macro,54,0.5904630213379642
4,learn,TotalF1:average=Macro,55,0.5995423426694089
4,learn,TotalF1:average=Macro,56,0.5982640219807078
4,learn,TotalF1:average=Macro,57,0.5987693790504517
4,learn,TotalF1:average=Macro,58,0.6011948735089017
4,learn,TotalF1:average=Macro,59,0.6081687712627534
4,learn,TotalF1:average=Macro,60,0.6054762306505543
4,learn,TotalF1:average=Macro,61,0.6062524185577978
4,learn,TotalF1:average=Macro,62,0.6138870460142009
4,learn,TotalF1:average=Macro,63,0.6128708863123943
4,learn,TotalF1:average=Macro,64,0.6159854539847274
4,learn,TotalF1:average=Macro,65,0.6180008230838367
4,learn,TotalF1:average=Macro,66,0.6181763414910071
4,learn,TotalF1:average=Macro,67,0.6153025712097855
4,learn,TotalF1:average=Macro,68,0.6171752596117519
4,learn,TotalF1:average=Macro,69,0.6141943675242517
4,learn,TotalF1:average=Macro,70,0.6147640454987342
4,learn,TotalF1:average=Macro,71,0.6183831229215261
4,learn,TotalF1:average=Macro,72,0.6181048542206351
4,learn,TotalF1:average=Macro,73,0.6184400463165171
