fold,split,metric,iteration,value
1,learn,TotalF1:average=Macro,1,0.5512817659094255
1,learn,TotalF1:average=Macro,2,0.5248911661603846
1,learn,TotalF1:average=Macro,3,0.5687609371813487
1,learn,TotalF1:average=Macro,4,0.5783839687322665
1,learn,TotalF1:average=Macro,5,0.5677076694343282
1,learn,TotalF1:average=Macro,6,0.5935676236935443
1,learn,TotalF1:average=Macro,7,0.577307561276726
1,learn,TotalF1:average=Macro,8,0.5796034541723667
1,learn,TotalF1:average=Macro,9,0.5668928269827108
1,learn,TotalF1:average=Macro,10,0.5654247906058976
1,learn,TotalF1:average=Macro,11,0.580235201077849
1,learn,TotalF1:average=Macro,12,0.5815554680069805
1,learn,TotalF1:average=Macro,13,0.5848847694131319
1,learn,TotalF1:average=Macro,14,0.588267472220991
1,learn,TotalF1:average=Macro,15,0.592516718632717
1,learn,TotalF1:average=Macro,16,0.6052583999656576
1,learn,TotalF1:average=Macro,17,0.6062021214523887
1,learn,TotalF1:average=Macro,18,0.6018262657757392
1,learn,TotalF1:average=Macro,19,0.6118788170929161
1,learn,TotalF1:average=Macro,20,0.6170365274975571
1,learn,TotalF1:average=Macro,21,0.6147397857143619
1,learn,TotalF1:average=Macro,22,0.617042294344876
1,learn,TotalF1:average=Macro,23,0.6156729433556813
1,learn,TotalF1:average=Macro,24,0.6090764557078625
1,learn,TotalF1:average=Macro,25,0.6155529857784594
1,learn,TotalF1:average=Macro,26,0.6183545406425599
1,learn,TotalF1:average=Macro,27,0.622608333039848
1,learn,TotalF1:average=Macro,28,0.624455531677745
1,learn,TotalF1:average=Macro,29,0.6315571419405863
1,learn,TotalF1:average=Macro,30,0.6300552735821116
1,learn,TotalF1:average=Macro,31,0.633139432656056
1,learn,TotalF1:average=Macro,32,0.6367997262590719
1,learn,TotalF1:average=Macro,33,0.6356852032355771
1,learn,TotalF1:average=Macro,34,0.635531196836369
1,learn,TotalF1:average=Macro,35,0.6423640928316399
1,learn,TotalF1:average=Macro,36,0.6392372250581962
1,learn,TotalF1:average=Macro,37,0.6355072699873541
1,learn,TotalF1:average=Macro,38,0.6425661403154095
1,learn,TotalF1:average=Macro,39,0.6397453509862518
1,learn,TotalF1:average=Macro,40,0.6408009872585296
