fold,split,metric,iteration,value
3,learn,TotalF1:average=Macro,1,0.6731598592618209
3,learn,TotalF1:average=Macro,2,0.7197900803748366
3,learn,TotalF1:average=Macro,3,0.7286319365717389
3,learn,TotalF1:average=Macro,4,0.7148760588386635
3,learn,TotalF1:average=Macro,5,0.7274782325034463
3,learn,TotalF1:average=Macro,6,0.7305796654592319
3,learn,TotalF1:average=Macro,7,0.7269344564563693
3,learn,TotalF1:average=Macro,8,0.7329520118076953
3,learn,TotalF1:average=Macro,9,0.7345143604915106
3,learn,TotalF1:average=Macro,10,0.7338524810136056
3,learn,TotalF1:average=Macro,11,0.7334524550219648
3,learn,TotalF1:average=Macro,12,0.7315117678982164
3,learn,TotalF1:average=Macro,13,0.7304548307106142
3,learn,TotalF1:average=Macro,14,0.7307466503747704
3,learn,TotalF1:average=Macro,15,0.7355103924972103
3,learn,TotalF1:average=Macro,16,0.7364231420200449
3,learn,TotalF1:average=Macro,17,0.7322055974106644
3,learn,TotalF1:average=Macro,18,0.7415524128470989
3,learn,TotalF1:average=Macro,19,0.739360705295872
3,learn,TotalF1:average=Macro,20,0.7363657715233093
3,learn,TotalF1:average=Macro,21,0.7351436134813657
3,learn,TotalF1:average=Macro,22,0.7339080660167452
3,learn,TotalF1:average=Macro,23,0.7336845108125505
3,learn,TotalF1:average=Macro,24,0.734409042320725
3,learn,TotalF1:average=Macro,25,0.7327721210506395
3,learn,TotalF1:average=Macro,26,0.7349857055457596
3,learn,TotalF1:average=Macro,27,0.7365001516200853
3,learn,TotalF1:average=Macro,28,0.7380312460140772
3,learn,TotalF1:average=Macro,29,0.7352956030359011
3,learn,TotalF1:average=Macro,30,0.738722869020705
3,learn,TotalF1:average=Macro,31,0.7388018307587435
3,learn,TotalF1:average=Macro,32,0.7395736061193691
3,learn,TotalF1:average=Macro,33,0.7422296067403953
3,learn,TotalF1:average=Macro,34,0.743085138527968
3,learn,TotalF1:average=Macro,35,0.7402369357070698
3,learn,TotalF1:average=Macro,36,0.7436833896476924
3,learn,TotalF1:average=Macro,37,0.745101495679324
3,learn,TotalF1:average=Macro,38,0.7470068229152447
3,learn,TotalF1:average=Macro,39,0.7484886526041985
3,learn,TotalF1:average=Macro,40,0.7505348049247447
3,learn,TotalF1:average=Macro,41,0.7498685247090269
3,learn,TotalF1:average=Macro,42,0.749277684916219
3,learn,TotalF1:average=Macro,43,0.7506269341949658
3,learn,TotalF1:average=Macro,44,0.7527240880203364
3,learn,TotalF1:average=Macro,45,0.750937891006684
3,learn,TotalF1:average=Macro,46,0.7481396813721412
3,learn,TotalF1:average=Macro,47,0.7507168903323562
3,learn,TotalF1:average=Macro,48,0.7532616006731991
3,learn,TotalF1:average=Macro,49,0.7545691316161087
3,learn,TotalF1:average=Macro,50,0.7538500348383319
3,learn,TotalF1:average=Macro,51,0.7532962930707584
3,learn,TotalF1:average=Macro,52,0.7523941955635944
3,learn,TotalF1:average=Macro,53,0.7552440713171528
3,learn,TotalF1:average=Macro,54,0.7565716815960456
3,learn,TotalF1:average=Macro,55,0.7553492172724512
3,learn,TotalF1:average=Macro,56,0.7554255676452819
3,learn,TotalF1:average=Macro,57,0.7562115150898512
3,learn,TotalF1:average=Macro,58,0.75563995284037
3,learn,TotalF1:average=Macro,59,0.7569226733550034
3,learn,TotalF1:average=Macro,60,0.7583237905956972
3,learn,TotalF1:average=Macro,61,0.7577073208196433
3,learn,TotalF1:average=Macro,62,0.7569041029159316
3,learn,TotalF1:average=Macro,63,0.7596999031801233
3,learn,TotalF1:average=Macro,64,0.75901896697377
3,learn,TotalF1:average=Macro,65,0.7577031858954103
3,learn,TotalF1:average=Macro,66,0.7570580333413917
3,learn,TotalF1:average=Macro,67,0.7570580333413917
3,learn,TotalF1:average=Macro,68,0.7584349300711104
3,learn,TotalF1:average=Macro,69,0.7564709277402061
3,learn,TotalF1:average=Macro,70,0.7584904652041677
3,learn,TotalF1:average=Macro,71,0.757174359992641
3,learn,TotalF1:average=Macro,72,0.7584904652041677
3,learn,TotalF1:average=Macro,73,0.757140419264474
3,learn,TotalF1:average=Macro,74,0.7572289252698812
3,learn,TotalF1:average=Macro,75,0.7572289252698812
3,learn,TotalF1:average=Macro,76,0.7572289252698812
3,learn,TotalF1:average=Macro,77,0.7607480469517046
3,learn,TotalF1:average=Macro,78,0.761487725454014
3,learn,TotalF1:average=Macro,79,0.7627979489712199
3,learn,TotalF1:average=Macro,80,0.7632578123640712
3,learn,TotalF1:average=Macro,81,0.7639799979353566
3,learn,TotalF1:average=Macro,82,0.7647170382069047
3,learn,TotalF1:average=Macro,83,0.7647170382069047
3,learn,TotalF1:average=Macro,84,0.7679794940386069
3,learn,TotalF1:average=Macro,85,0.7691403530539954
3,learn,TotalF1:average=Macro,86,0.7704311017976716
3,learn,TotalF1:average=Macro,87,0.7711393170951221
3,learn,TotalF1:average=Macro,88,0.7704755692688235
3,learn,TotalF1:average=Macro,89,0.7718463205748358
3,learn,TotalF1:average=Macro,90,0.7724973456651965
3,learn,TotalF1:average=Macro,91,0.7724973456651965
3,learn,TotalF1:average=Macro,92,0.7732314498340818
3,learn,TotalF1:average=Macro,93,0.7746135942739547
3,learn,TotalF1:average=Macro,94,0.7752264447360073
3,learn,TotalF1:average=Macro,95,0.7751635927764816
3,learn,TotalF1:average=Macro,96,0.7751480016116794
3,learn,TotalF1:average=Macro,97,0.7765328152384625
3,learn,TotalF1:average=Macro,98,0.7758827063921848
3,learn,TotalF1:average=Macro,99,0.7758998624963996
3,learn,TotalF1:average=Macro,100,0.7766633250105964
3,learn,TotalF1:average=Macro,101,0.7760124029792119
3,learn,TotalF1:average=Macro,102,0.775974968221749
3,learn,TotalF1:average=Macro,103,0.7758350393018432
3,learn,TotalF1:average=Macro,104,0.7770997912049609
3,learn,TotalF1:average=Macro,105,0.7771675126727342
3,learn,TotalF1:average=Macro,106,0.779770704156179
3,learn,TotalF1:average=Macro,107,0.7798059482294468
3,learn,TotalF1:average=Macro,108,0.7791532999321595
3,learn,TotalF1:average=Macro,109,0.7791532999321595
3,learn,TotalF1:average=Macro,110,0.7791661720327037
3,learn,TotalF1:average=Macro,111,0.7791532999321595
3,learn,TotalF1:average=Macro,112,0.7798827937426748
3,learn,TotalF1:average=Macro,113,0.7792554680057207
